id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;activation_key;reset_key;created_by;created_date;reset_date;last_modified_by;last_modified_date
1007;li.jing;$2a$10$EFoPS6wQvhCXyVlGPOJgnufvWNfg9kcxXyM/mNClbngJQq9MG/TAW;Jing;Li;li.jing@bc.com;;1;zh-cn;;96618540222767289290;admin;2018-05-07 17:49:27.356;2018-05-07 17:49:27.356;admin;2018-05-07 17:49:27.356
1008;wang.jing;$2a$10$ZTgK1ASKkDGhtSH16Jm8oOdkgvEnbewf.sOrHqcjzZgU.unK/0qX.;Jing;Wang;wang.jing@bc.com;;1;zh-cn;;84013793790498903457;admin;2018-05-07 17:50:07.943;2018-05-07 17:50:07.940;admin;2018-05-07 17:50:07.943
1009;liu.wei;$2a$10$XMdEAqw9CUZw8KU2LFbIUOhlPFVLZOU7qOmpBJ4Rh01EZgVRB8uea;Wei;Liu;liu.wei@bc.com;;1;zh-cn;;06241211143078621838;admin;2018-05-07 17:50:39.343;2018-05-07 17:50:39.340;admin;2018-05-07 17:50:39.343
1010;xiuying.wang;$2a$10$T8L.LDOXqNUb9P3szORsJ.l4impZICT7A.KEHbq/aBS3KelGBE7my;Xiu Ying;Wang;xiuying.wang@bc.com;;1;zh-cn;;37379886857981701724;admin;2018-05-07 17:51:16.726;2018-05-07 17:51:16.723;admin;2018-05-07 17:51:16.726
1011;zhang.li;$2a$10$Vr.z3O/BhhgMm2uwZF8MxOSKjWDyaaqjDk8LfuxcVNGVHg6HN0/fW;Li;Zhang;zhang.li@bc.com;;1;zh-cn;;78429767325366236606;admin;2018-05-07 17:51:42.163;2018-05-07 17:51:42.163;admin;2018-05-07 17:51:42.163
1012;li.xiuying;$2a$10$HYVO7NM08CHzWbCVooLbSOMswfFL1HEKJnFZ996wMpxgxxKAxX1xi;Xiu Ying;Li;li.xiuying@bc.com;;1;zh-cn;;37464997196191675478;admin;2018-05-07 17:52:29.363;2018-05-07 17:52:29.363;admin;2018-05-07 17:52:29.363
1013;wang.li;$2a$10$cHQMZcLXONCjB1n40igtpO2MiziQ2j4iNtgBNRR.1dWyx4dgClYXC;Li;Wang;wang.li@bc.com;;1;zh-cn;;28273542524283699980;admin;2018-05-07 17:52:50.406;2018-05-07 17:52:50.403;admin;2018-05-07 17:52:50.406
1014;zhang.jing;$2a$10$Iiq5hbEw4PcBSOPcH2X2E.ZF1nkk8HFy0ShT9KxAVudOxsKEWgcmi;Jing;Zhang;zhang.jing@bc.com;;1;zh-cn;;19411336893175390881;admin;2018-05-07 17:53:15.496;2018-05-07 17:53:15.493;admin;2018-05-07 17:53:15.496
1015;zhang.xiuying;$2a$10$IpnjmRwGGw2lM84r2.zo5.0/tGdkZt8yBlKkYIxsQFLsQf/S2UJSG;Xiu Ying;Zhang;zhang.xiuying@bc.com;;1;zh-cn;;31559095161257446825;admin;2018-05-07 17:53:36.710;2018-05-07 17:53:36.710;admin;2018-05-07 17:53:36.710
1016;li.qiang;$2a$10$Z9KTiVPeuoiOMKAb0GZU8eNTGRFyX6d9Uz33WOH89wFJ0wtSOrZiW;Qiang;Li;li.qiang@bc.com;;1;zh-cn;;25592767807112765440;admin;2018-05-07 17:53:57.556;2018-05-07 17:53:57.556;admin;2018-05-07 17:53:57.556
1017;wang.min;$2a$10$1IjWcHL20J2KzWbtkio49OsKd6PHOpPeDvIaXZZvLmWoKoTaceGbm;Min;Wang;wang.min@bc.com;;1;zh-cn;;65001043405238252931;admin;2018-05-07 17:54:17.906;2018-05-07 17:54:17.906;admin;2018-05-07 17:54:17.906
1018;li.min;$2a$10$S4hgeNsnGDCdcXMi.n9jhe.8TETmyE1BkbQWn8kpc987pZB4U0mTi;Min;Li;li.min@bc.com;;1;zh-cn;;99033799827509160101;admin;2018-05-07 17:54:34.106;2018-05-07 17:54:34.103;admin;2018-05-07 17:54:34.106
1019;wang.lei;$2a$10$lhOhRxjy2ryZ1E2eqEk71ONKnLN1gj9K.VD7bp6vuTCQ9GTOE/QaS;Lei;Wang;wang.lei@bc.com;;1;zh-cn;;21926759547268921255;admin;2018-05-07 17:54:53.853;2018-05-07 17:54:53.853;admin;2018-05-07 17:54:53.853
1020;liu.yang;$2a$10$suHz3qwjBYcxturYstqeSOO2dpEiUufpGSbOPp8cJZ8k8O3t0hkey;Yang;Liu;liu.yang@bc.com;;1;zh-cn;;91596102309030358467;admin;2018-05-07 17:55:52.626;2018-05-07 17:55:52.626;admin;2018-05-07 17:55:52.626
1021;wang.yan;$2a$10$9YhoU/71bphyLRp77NKIJeYPHqDbcPSfC87VjS.TvfTzmVZBafL/e;Yan;Wang;wang.yan@bc.com;;1;zh-cn;;42781666350732308199;admin;2018-05-07 17:56:33.503;2018-05-07 17:56:33.503;admin;2018-05-07 17:56:33.503
1022;wang.yong;$2a$10$2TsNQc/UOBdBNILIMFvG5e2x4ilmDSoE6Z0Y/br/J8ta8vaoeefou;Yong;Wang;wang.yong@bc.com;;1;zh-cn;;34048338305237464153;admin;2018-05-07 17:56:57.883;2018-05-07 17:56:57.883;admin;2018-05-07 17:56:57.883
1023;li.jun;$2a$10$Ug6k24lxg5wRxjiqWq42n.wc7TcVKjX3f.Ch71UNMluQhSfNm9Qyi;Jun;Li;li.jun@bc.com;;1;zh-cn;;40682962443232574413;admin;2018-05-07 17:57:14.463;2018-05-07 17:57:14.463;admin;2018-05-07 17:57:14.463
1024;zhang.yong;$2a$10$CL2OfqFjBf9L6hBXYvMujOdKhmp7aORQezNzeCWHePQOdpcwHdTf6;Yong;Zhang;zhang.yong@bc.com;;1;zh-cn;;58589799535563938503;admin;2018-05-07 17:57:51.330;2018-05-07 17:57:51.330;admin;2018-05-07 17:57:51.330
1025;li.jie;$2a$10$aCXc84zlM2UiwL4eTUsVOOtUpwOaXePgrAr0tqkR.xtefB5xMcm4C;Jie;Li;li.jie@bc.com;;1;zh-cn;;88997424205021182804;admin;2018-05-07 17:58:12.636;2018-05-07 17:58:12.636;admin;2018-05-07 17:58:12.636
1026;zhang.jie;$2a$10$o8g14M.TL9t9NyD.jodfreRxyZq5lkDjuCX/8zMrtctkWHE3niRc.;Jie;Zhang;zhang.jie@bc.com;;1;zh-cn;;86641698044501257132;admin;2018-05-07 17:58:32.796;2018-05-07 17:58:32.793;admin;2018-05-07 17:58:32.796
1027;zhang.lei;$2a$10$zD3kpAlHFmkcNl1NRQ4Qo.X20GMiP1Kvff.a4yJV8pzZo2EWKS21q;Lei;Zhang;zhang.lei@bc.com;;1;zh-cn;;53466608285455963525;admin;2018-05-07 17:58:55.910;2018-05-07 17:58:55.910;admin;2018-05-07 17:58:55.910
1028;wang.qiang;$2a$10$wAFZw0Og75GzWwKnpIBbFeJ7ooqbOmxqs7NK0JEaNM9T4g/yitaMK;Qiang;Wang;wang.qiang@bc.com;;1;zh-cn;;03274465135502177292;admin;2018-05-07 17:59:11.140;2018-05-07 17:59:11.136;admin;2018-05-07 17:59:11.140
1029;li.juan;$2a$10$C9V9iYCKKogPfoEItZie8.N5lUoJTfivINC0VmJYQ9L9udBfp.Uea;Juan;Li;li.juan@bc.com;;1;zh-cn;;32678808381933653533;admin;2018-05-07 17:59:28.780;2018-05-07 17:59:28.780;admin;2018-05-07 17:59:28.780
1030;wang.jun;$2a$10$tZp.zSq/tOcOC3uBixEJ3O7nIV.q4o37rtyjqKjv5ooTqViciQbcC;Jun;Wang;wang.jun@bc.com;;1;zh-cn;;92420963983872704618;admin;2018-05-07 17:59:50.616;2018-05-07 17:59:50.613;admin;2018-05-07 17:59:50.616
